DateTime,AddedIPs,RemovedIPs
1610349629,14,0
1610349930,12,0
1610350235,9,0
1610350530,16,0
1610350830,16,0
1610351133,13,0
1610351430,8,0
1610351729,9,0
1610352038,10,0
1610352333,15,0
1610352628,15,0
1610352930,9,0
1610353230,9,0
1610353530,14,0
1610353833,7,0
1610354129,6,0
1610354430,13,0
1610354734,13,0
1610355029,13,0
1610355330,11,0
1610355636,14,0
1610355930,13,0
1610356230,10,0
1610356534,12,0
1610356829,14,0
1610357128,4,0
1610357432,14,0
1610357728,10,0
1610358029,9,0
1610358333,10,0
1610358630,10,0
1610358928,10,0
1610359235,12,0
1610359533,12,0
1610359831,12,0
1610360132,8,0
1610360430,8,0
1610360729,14,0
1610361032,11,0
1610361329,13,0
1610361933,19,0
1610362234,7,0
1610362529,12,0
1610362837,12,0
1610363135,9,0
1610363429,10,0
1610363736,6,0
1610364032,9,0
1610364329,11,0
1610364636,9,0
1610364929,12,0
1610365230,9,0
1610365533,17,0
1610365829,13,0
1610366129,11,0
1610366434,11,0
1610366733,12,0
1610367030,11,0
1610367331,9,0
1610367929,19,0
1610368232,8,0
1610368529,18,0
1610368830,8,0
1610369132,10,0
1610369432,13,0
1610369730,16,0
1610370034,11,0
1610370334,15,0
1610370629,12,0
1610371229,25,0
1610371530,8,0
1610371833,12,0
1610372129,10,0
1610372431,12,0
1610372734,13,0
1610373031,14,0
1610373328,10,0
1610373637,9,0
1610373934,9,0
1610374229,11,0
1610374531,16,0
1610374830,6,0
1610375432,24,0
1610375730,8,0
1610376030,12,0
1610376332,12,0
1610376631,8,0
1610376930,11,0
1610377233,11,0
1610377535,12,0
1610377830,10,0
1610378131,16,0
1610378430,9,0
1610379036,19,0
1610379329,8,0
1610379630,11,0
1610379934,14,0
1610380230,13,0
1610380529,15,0
1610380834,19,0
1610381132,8,0
1610381429,9,0
1610381732,11,0
1610382030,9,0
1610382330,4,0
1610382637,9,0
1610382929,6,0
1610383230,6,0
1610383535,12,0
1610383836,11,0
1610384128,16,0
1610384434,23,0
1610384730,13,0
1610385032,9,0
1610385332,9,0
1610385631,10,0
1610385930,12,0
1610386233,17,1
1610386529,9,0
1610386830,11,0
1610387135,9,0
1610387431,13,0
1610387729,12,0
1610388034,16,0
1610388334,11,0
1610388631,13,0
1610388933,9,0
1610389231,10,0
1610389530,7,0
1610389833,10,0
1610390129,10,0
1610390430,15,0
1610390731,13,0
1610391035,10,0
1610391329,13,0
1610391635,9,0
1610391930,10,0
1610392231,13,0
1610392531,19,0
1610392829,17,0
1610393433,26,0
1610393729,12,0
1610394029,11,0
1610394336,9,0
1610394634,9,0
1610394929,16,0
1610395236,18,0
1610395532,12,0
1610395830,11,0
1610396132,7,0
1610396431,10,0
1610396729,12,0
1610397033,18,0
1610397330,18,0
1610397632,12,0
1610397936,5,0
1610398233,8,0
1610398529,10,0
1610398834,7,0
1610399132,16,0
1610399429,11,0
1610399731,14,0
1610400029,13,0
1610400632,16,0
1610400930,9,0
1610401231,9,0
1610401534,12,0
1610401829,12,0
1610402129,12,0
1610402434,9,0
1610402731,11,0
1610403030,8,0
1610403332,16,0
1610403629,10,0
1610403930,17,0
1610404232,17,0
1610404529,13,1
1610404831,16,0
1610405137,10,0
1610405431,12,0
1610405729,15,0
1610406039,22,0
1610406334,14,0
1610406631,17,0
1610406932,8,0
1610407231,19,0
1610407834,27,0
1610408129,20,0
1610408432,15,0
1610408733,18,0
1610409033,12,0
1610409328,18,0
1610409634,9,0
1610410229,22,0
